6, 19, 20, 25, 31, 37, 39 + 4, 27
3, 5, 7, 9, 15, 18, 19 + 22, 38
2, 9, 16, 20, 21, 33, 36 + 15, 34
3, 7, 16, 28, 30, 32, 36 + 2, 25
1, 6, 21, 23, 31, 33, 38 + 12, 39
3, 6, 10, 11, 18, 27, 37 + 13, 22
4, 13, 16, 27, 30, 31, 39 + 1, 6
4, 5, 11, 23, 32, 33, 37 + 3, 36
1, 4, 12, 16, 27, 34, 35 + 2, 36
5, 9, 12, 14, 23, 26, 38 + 6, 35
12, 13, 14, 23, 24, 27, 30 + 16, 33
8, 9, 13, 18, 19, 32, 33 + 22, 31
6, 9, 15, 17, 36, 38, 39 + 18, 21
3, 6, 8, 13, 15, 26, 39 + 14, 27
2, 7, 8, 9, 19, 22, 23 + 5, 15
4, 9, 18, 33, 35, 36, 39 + 7, 16
1, 3, 6, 13, 25, 32, 34 + 2, 29
2, 6, 9, 15, 16, 17, 34 + 28, 39
3, 4, 5, 6, 11, 13, 20 + 10, 37
7, 12, 15, 18, 26, 35, 36 + 4, 9
2, 5, 6, 9, 35, 36, 39 + 14, 37
5, 13, 15, 20, 31, 37, 39 + 2, 4
1, 14, 16, 20, 23, 26, 36 + 12, 33
9, 17, 22, 29, 34, 35, 36 + 13, 16
13, 16, 19, 25, 30, 32, 39 + 7, 9
10, 12, 15, 29, 31, 33, 39 + 22, 28
5, 6, 7, 9, 26, 32, 39 + 16, 38
4, 9, 12, 14, 19, 32, 38 + 21, 30
5, 10, 12, 15, 18, 21, 23 + 1, 4
1, 4, 11, 17, 22, 34, 39 + 7, 32
2, 4, 9, 10, 12, 24, 32 + 8, 23
3, 8, 11, 13, 22, 27, 35 + 7, 24
8, 14, 15, 20, 26, 28, 31 + 7, 11
10, 11, 19, 20, 27, 32, 34 + 16, 24
3, 12, 17, 18, 21, 29, 39 + 6, 11
1, 10, 12, 21, 23, 31, 36 + 24, 39
3, 5, 8, 15, 20, 26, 35 + 16, 19
6, 18, 19, 27, 29, 33, 35 + 15, 17
3, 9, 31, 34, 35, 38, 39 + 5, 25
1, 20, 25, 29, 33, 34, 35 + 3, 27
1, 8, 15, 22, 33, 34, 37 + 31, 38
2, 6, 19, 25, 26, 28, 30 + 24, 36, 
6, 8, 21, 26, 31, 36, 39 + 12, 13
3, 18, 22, 27, 33, 36, 38 + 5, 20
3, 8, 15, 24, 26, 35, 39 + 2, 37
1, 2, 16, 18, 22, 24, 26 + 12, 17
1, 15, 16, 19, 24, 33, 37 + 6, 32
6, 19, 23, 35, 36, 38, 39 + 9, 22
2, 4, 5, 12, 14, 18, 27 + 8, 31
10, 14, 15, 22, 33, 37, 39 + 18, 24
3, 4, 5, 19, 23, 25, 35 + 15, 28
1, 3, 6, 8, 16, 17, 26 + 19, 37
3, 13, 16, 18, 20, 23, 28 + 12, 21
5, 8, 12, 17, 25, 35, 38 + 22, 36
5, 9, 17, 18, 27, 29, 37 + 15, 25
4, 6, 11, 19, 24, 35, 38 + 5, 18
8, 18, 23, 28, 33, 35, 39 + 25, 37
2, 17, 18, 30, 32, 33, 37 + 8, 10
6, 16, 20, 23, 26, 27, 28 + 12, 39
3, 4, 7, 17, 29, 30, 33 + 16, 38
7, 9, 21, 22, 26, 28, 35 + 16, 27
6, 8, 24, 26, 35, 36, 38 + 12, 27
5, 12, 17, 27, 32, 34, 35 + 2, 21
2, 12, 16, 21, 36, 38, 39 + 11, 20
4, 7, 12, 19, 24, 32, 34 + 3, 38
10, 17, 21, 24, 26, 31, 37 + 1, 28
7, 13, 21, 25, 27, 35, 37 + 16, 19
3, 6, 13, 18, 22, 33, 34 + 1, 39
6, 11, 24, 25, 27, 36, 38 + 10, 12
5, 9, 12, 20, 27, 34, 37 + 6, 24
9, 10, 12, 23, 29, 30, 35 + 4, 13
6, 7, 12, 14, 18, 32, 39 + 5, 9
2, 4, 9, 10, 16, 19, 39 + 13, 35
9, 11, 12, 16, 32, 34, 36 + 2, 14
2, 11, 14, 16, 18, 31, 32 + 6, 15
18, 21, 24, 30, 34, 35, 37 + 10, 14
8, 12, 24, 30, 32, 36, 39 + 13, 26
6, 13, 15, 18, 25, 27, 34 + 5, 24
9, 10, 12, 15, 22, 35, 36 + 2, 21, 32
8, 10, 11, 14, 24, 30, 37 + 20, 29, 36
5, 7, 8, 24, 29, 36, 39 + 1, 26, 31
5, 13, 16, 28, 31, 32, 33 + 11, 25, 36
1, 2, 4, 20, 29, 35, 37 + 7, 12, 30
3, 5, 12, 19, 25, 31, 37 + 4, 21, 39
3, 5, 10, 14, 29, 35, 39 + 7, 28, 38
3, 6, 11, 21, 23, 27, 32 + 5, 28, 38
3, 11, 13, 26, 29, 32, 36 + 8, 33, 35
2, 12, 15, 20, 25, 31, 37 + 22, 32, 35
3, 6, 18, 23, 24, 32, 36 + 7, 21, 30
1, 5, 10, 11, 17, 20, 31 + 12, 18, 28
6, 8, 11, 15, 18, 30, 39 + 22, 23, 26
5, 9, 10, 12, 18, 27, 36 + 4, 8, 26
1, 12, 22, 25, 28, 35, 38 + 6, 18, 36
4, 20, 23, 28, 30, 33, 39 + 5, 21, 29
7, 13, 17, 18, 19, 24, 36 + 3, 33, 37
4, 7, 9, 20, 25, 29, 36 + 13, 34, 37
6, 7, 10, 18, 19, 27, 28 + 3, 33, 34
2, 5, 12, 15, 25, 26, 38 + 1, 37, 39
4, 11, 15, 22, 30, 35, 37 + 25, 27, 33
8, 16, 21, 23, 25, 26, 37 + 10, 12, 28
4, 12, 17, 18, 23, 27, 31 + 6, 19, 20
4, 6, 20, 28, 30, 34, 38 + 18, 22, 26
1, 3, 17, 22, 28, 29, 32 + 13, 16, 33
4, 10, 11, 16, 24, 28, 32 + 9, 33, 36
1, 2, 3, 7, 8, 10, 14 + 15, 19, 33
11, 21, 22, 23, 24, 26, 29 + 13, 33, 36
1, 17, 20, 21, 26, 33, 39 + 14, 19, 28
2, 16, 18, 19, 22, 23, 34 + 3, 8, 10
4, 7, 13, 16, 18, 25, 38 + 9, 22, 39
1, 5, 6, 21, 22, 30, 39 + 24, 26, 28
4, 12, 14, 16, 23, 25, 30 + 7, 8, 28
7, 13, 14, 15, 20, 38, 39 + 6, 9, 24
3, 12, 16, 24, 28, 34, 38 + 9, 23, 29
10, 18, 30, 35, 36, 37, 38 + 2, 17, 19
3, 6, 8, 22, 30, 38, 39 + 16, 25, 37
1, 8, 11, 28, 30, 33, 37 + 2, 4, 36
1, 9, 12, 22, 35, 36, 38 + 13, 21, 32
2, 7, 10, 18, 24, 26, 34 + 8, 28, 37
1, 3, 11, 18, 19, 24, 28 + 20, 30, 35
6, 8, 9, 10, 22, 34, 38 + 2, 26, 33
9, 10, 13, 17, 20, 21, 25 + 1, 24, 31
1, 5, 8, 14, 18, 28, 33 + 15, 31, 32
